guid,title,link,coordinates,description
b'event_745689',I-75 Ramp Northbound : MILE POST 66,http://www.511ga.org?lon1=-83.515000&lat1=31.506000&lon2=-83.515000&lat2=31.506000,"(31.506000, -83.515000)","Construction, Major impact.<br>Exit lane closed.<br>Tift Co.<br>Expected clear: 6/30/2016 8:30 AM.<br>Last update: 4/15/2016 6:56 AM.<br>"
b'event_805636',SR 112 Both Directions : MILE POST 16,http://www.511ga.org?lon1=-84.147720&lat1=31.271492&lon2=-84.147720&lat2=31.271492,"(31.271492, -84.147720)","Construction, Minor impact.<br>1 lane (of 1) closed.<br>Mitchell Co.<br>Expected clear: today 7:00 PM.<br>Last update: today 7:30 AM.<br>"
b'event_805535',GA 400 Northbound : MCFARLAND,http://www.511ga.org?lon1=-84.222664&lat1=34.114716&lon2=-84.222664&lat2=34.114716,"(34.114716, -84.222664)","Construction, Major impact.<br>Left 2 lanes (of 3) closed.<br>Forsyth Co.<br>Expected clear: today 6:00 PM.<br>Last update: today 1:45 PM.<br>"
b'event_805622',I-16 Westbound : MILE POST 144,http://www.511ga.org?lon1=-81.448048&lat1=32.172290&lon2=-81.448048&lat2=32.172290,"(32.172290, -81.448048)","Construction, Moderate impact.<br>Right lane (of 2) closed.<br>Bryan Co.<br>Expected clear: tomorrow 12:00 AM.<br>Last update: today 6:34 AM.<br>"
b'event_805705',SR 16 Eastbound : MILE POST 10.21,http://www.511ga.org?lon1=-83.370496&lat1=33.336018&lon2=-83.370496&lat2=33.336018,"(33.336018, -83.370496)","Construction, Minor impact.<br>Right lane (of 2) closed.<br>Putnam Co.<br>Expected clear: today 6:00 PM.<br>Last update: today 11:30 AM.<br>"
b'event_805643',SR 9 Westbound : MECASLIN ST,http://www.511ga.org?lon1=-84.399784&lat1=33.786112&lon2=-84.399784&lat2=33.786112,"(33.786112, -84.399784)","Construction, Moderate impact.<br>Right lane (of 2) closed.<br>Fulton Co.<br>Expected clear: today 4:00 PM.<br>Last update: today 7:39 AM.<br>"
b'event_805169',SR 211 Both Directions : SR 82,http://www.511ga.org?lon1=-83.613896&lat1=34.024392&lon2=-83.613896&lat2=34.024392,"(34.024392, -83.613896)","Construction, Major impact.<br>All lanes closed.<br>Barrow Co.<br>Expected clear: 8/1/2016 9:00 AM.<br>Last update: 6/3/2016 9:52 AM.<br>"
b'event_805549',I-75 Southbound : WINDY HILL RD,http://www.511ga.org?lon1=-84.473520&lat1=33.901652&lon2=-84.473520&lat2=33.901652,"(33.901652, -84.473520)","Construction, Moderate impact.<br>Left 2 lanes (of 5) closed.<br>Cobb Co.<br>Expected clear: today 5:00 PM.<br>Last update: today 8:31 AM.<br>"
b'event_796386',SR 212 Both Directions : SUSONG,http://www.511ga.org?lon1=-84.071112&lat1=33.584264&lon2=-84.071112&lat2=33.584264,"(33.584264, -84.071112)","Construction, Major impact.<br>All lanes closed.<br>Rockdale Co.<br>Expected clear: 12/31/2016 11:59 PM.<br>Last update: 5/16/2016 10:58 AM.<br>"
b'event_805564',I-20 Westbound : I-285  west side/Fulton Co ,http://www.511ga.org?lon1=-84.495000&lat1=33.766000&lon2=-84.495000&lat2=33.766000,"(33.766000, -84.495000)","Construction, Major impact.<br>Left 2 lanes (of 3) closed.<br>Fulton Co.<br>Expected clear: 6/6/2016 5:00 AM.<br>Last update: today 12:24 AM.<br>"
b'event_804299',SR 41 Both Directions : MILE POST 12.2,http://www.511ga.org?lon1=-84.537128&lat1=32.790932&lon2=-84.537128&lat2=32.790932,"(32.790932, -84.537128)","Construction, Major impact.<br>All lanes closed.<br>Talbot Co.<br>Expected clear: 6/3/2016 12:00 PM.<br>Last update: 6/2/2016 8:46 PM.<br>"
b'event_790798',SR 64 Both Directions : SR 11,http://www.511ga.org?lon1=-83.171480&lat1=31.107174&lon2=-83.171480&lat2=31.107174,"(31.107174, -83.171480)","Construction, Minor impact.<br>All lanes closed.<br>Berrien Co.<br>Expected clear: 10/31/2017 12:00 AM.<br>Last update: 5/4/2016 4:13 PM.<br>"
b'event_805648',I-520 Eastbound : MILE POST 7,http://www.511ga.org?lon1=-82.026480&lat1=33.406296&lon2=-82.026480&lat2=33.406296,"(33.406296, -82.026480)","Construction, Minor impact.<br>All lanes closed.<br>Richmond Co.<br>Expected clear: today 4:00 PM.<br>Last update: today 7:58 AM.<br>"
b'event_767839',SR 252 Both Directions : ALLEN OBERRY CEMETARY,http://www.511ga.org?lon1=-81.916256&lat1=30.950108&lon2=-81.916256&lat2=30.950108,"(30.950108, -81.916256)","Construction, Minor impact.<br>All lanes closed.<br>Charlton Co.<br>Expected clear: 3/14/2017 7:00 AM.<br>Last update: 4/13/2016 9:29 AM.<br>"
b'event_805505',I-75 Southbound : SR 151/Alabama Highway,http://www.511ga.org?lon1=-85.127000&lat1=34.910000&lon2=-85.127000&lat2=34.910000,"(34.910000, -85.127000)","Construction, Moderate impact.<br>Right lane (of 3) closed.<br>Catoosa Co.<br>Expected clear: tomorrow 6:00 AM.<br>Last update: today 10:12 AM.<br>"
b'event_805565',I-75 Northbound : I-285,http://www.511ga.org?lon1=-84.459112&lat1=33.888408&lon2=-84.459112&lat2=33.888408,"(33.888408, -84.459112)","Construction, Moderate impact.<br>Left lane (of 5) closed.<br>Cobb Co.<br>Expected clear: today 5:00 PM.<br>Last update: today 8:26 AM.<br>"
